customer_name,city,product,amount
Kavya,Bengaluru,Laptop,50000
Kavya,Bengaluru,Mouse,1000
Rahul,Mysuru,Keyboard,2000
Ananya,Chennai,Monitor,15000
,,,
,,,
customer_name,city,product,amount
Kavya,Bengaluru,Laptop,50000
Kavya,Bengaluru,Mouse,1000
Rahul,Mysuru,Keyboard,2000
Ananya,Chennai,Monitor,15000
Priya,Hyderabad,NULL,NULL
Arjun,Mumbai,NULL,NULL
,,,
customer_name,city,product,amount
Kavya,Bengaluru,Laptop,50000
Kavya,Bengaluru,Mouse,1000
Rahul,Mysuru,Keyboard,2000
Ananya,Chennai,Monitor,15000
NULL,NULL,Headphones,3000
,,,
customer_name,city,product,amount
Kavya,Bengaluru,Laptop,50000
Kavya,Bengaluru,Mouse,1000
Rahul,Mysuru,Keyboard,2000
Ananya,Chennai,Monitor,15000
Priya,Hyderabad,NULL,NULL
Arjun,Mumbai,NULL,NULL
NULL,NULL,Headphones,3000
,,,
customer_id,customer_name,city,
4,Priya,Hyderabad,
5,Arjun,Mumbai,
,,,
,,,
customer_id,customer_name,city,
4,Priya,Hyderabad,
5,Arjun,Mumbai,
,,,
customer_id,customer_name,total_orders,total_amount
1,Kavya,2,51000
2,Rahul,1,2000
3,Ananya,1,15000
4,Priya,0,0
5,Arjun,0,0
