sale_id,customer_name,product,category,city,quantity,amount,sale_date,salesperson
1,Kavya,Laptop,Electronics,Bengaluru,1,55000,1/10/2026,Rahul
2,Ananya,Mouse,Electronics,Mysuru,2,1200,1/12/2026,Priya
3,Rahul,Keyboard,Electronics,Bengaluru,1,2500,1/15/2026,Arjun
4,Sneha,Chair,Furniture,Chennai,2,8000,1/18/2026,Priya
5,Arjun,Desk,Furniture,Bengaluru,1,12000,1/20/2026,Rahul
6,Pooja,Monitor,Electronics,Hyderabad,1,15000,1/22/2026,Arjun
7,Riya,Headphones,Electronics,Mysuru,3,4500,1/25/2026,Priya
8,Vikram,Notebook,Stationery,Bengaluru,5,750,1/27/2026,Rahul
9,Megha,Pen,Stationery,Chennai,10,500,1/29/2026,Arjun
10,Aman,Printer,Electronics,Hyderabad,1,18000,2/2/2026,Priya
,,,,,,,,
,,,,,,,,
,,,,,,,,
sale_id,customer_name,product,category,city,quantity,amount,sale_date,salesperson
1,Kavya,Laptop,Electronics,Bengaluru,1,55000,1/10/2026,Rahul
5,Arjun,Desk,Furniture,Bengaluru,1,12000,1/20/2026,Rahul
6,Pooja,Monitor,Electronics,Hyderabad,1,15000,1/22/2026,Arjun
10,Aman,Printer,Electronics,Hyderabad,1,18000,2/2/2026,Priya
,,,,,,,,
sale_id,customer_name,product,category,city,quantity,amount,sale_date,salesperson
1,Kavya,Laptop,Electronics,Bengaluru,1,55000,1/10/2026,Rahul
3,Rahul,Keyboard,Electronics,Bengaluru,1,2500,1/15/2026,Arjun
,,,,,,,,
sale_id,customer_name,product,category,city,quantity,amount,sale_date,salesperson
1,Kavya,Laptop,Electronics,Bengaluru,1,55000,1/10/2026,Rahul
2,Ananya,Mouse,Electronics,Mysuru,2,1200,1/12/2026,Priya
3,Rahul,Keyboard,Electronics,Bengaluru,1,2500,1/15/2026,Arjun
5,Arjun,Desk,Furniture,Bengaluru,1,12000,1/20/2026,Rahul
7,Riya,Headphones,Electronics,Mysuru,3,4500,1/25/2026,Priya
8,Vikram,Notebook,Stationery,Bengaluru,5,750,1/27/2026,Rahul
,,,,,,,,
sale_id,customer_name,product,category,city,quantity,amount,sale_date,salesperson
2,Ananya,Mouse,Electronics,Mysuru,2,1200,1/12/2026,Priya
4,Sneha,Chair,Furniture,Chennai,2,8000,1/18/2026,Priya
6,Pooja,Monitor,Electronics,Hyderabad,1,15000,1/22/2026,Arjun
7,Riya,Headphones,Electronics,Mysuru,3,4500,1/25/2026,Priya
9,Megha,Pen,Stationery,Chennai,10,500,1/29/2026,Arjun
10,Aman,Printer,Electronics,Hyderabad,1,18000,2/2/2026,Priya
,,,,,,,,
,,,,,,,,
sale_id,customer_name,product,category,city,quantity,amount,sale_date,salesperson
2,Ananya,Mouse,Electronics,Mysuru,2,1200,1/12/2026,Priya
5,Arjun,Desk,Furniture,Bengaluru,1,12000,1/20/2026,Rahul
10,Aman,Printer,Electronics,Hyderabad,1,18000,2/2/2026,Priya
,,,,,,,,
sale_id,customer_name,product,category,city,quantity,amount,sale_date,salesperson
1,Kavya,Laptop,Electronics,Bengaluru,1,55000,1/10/2026,Rahul
3,Rahul,Keyboard,Electronics,Bengaluru,1,2500,1/11/2026,Arjun
4,Sneha,Chair,Furniture,Chennai,2,8000,1/12/2026,Priya
5,Arjun,Desk,Furniture,Bengaluru,1,12000,1/13/2026,Rahul
6,Pooja,Monitor,Electronics,Hyderabad,1,15000,1/14/2026,Arjun
8,Vikram,Notebook,Stationery,Bengaluru,5,750,1/15/2026,Rahul
9,Megha,Pen,Stationery,Chennai,10,500,1/16/2026,Arjun
10,Aman,Printer,Electronics,Hyderabad,1,18000,2/2/2026,Priya
,,,,,,,,
sale_id,customer_name,product,category,city,quantity,amount,sale_date,salesperson
1,Kavya,Laptop,Electronics,Bengaluru,1,55000,1/10/2026,Rahul
3,Rahul,Keyboard,Electronics,Bengaluru,1,2500,1/15/2026,Arjun
4,Sneha,Chair,Furniture,Chennai,2,8000,1/18/2026,Priya
5,Arjun,Desk,Furniture,Bengaluru,1,12000,1/20/2026,Rahul
6,Pooja,Monitor,Electronics,Hyderabad,1,15000,1/22/2026,Arjun
8,Vikram,Notebook,Stationery,Bengaluru,5,750,1/27/2026,Rahul
9,Megha,Pen,Stationery,Chennai,10,500,1/29/2026,Arjun
10,Aman,Printer,Electronics,Hyderabad,1,18000,2/2/2026,Priya
,,,,,,,,
sale_id,customer_name,product,category,city,quantity,amount,sale_date,salesperson
10,Aman,Printer,Electronics,Hyderabad,1,18000,2/2/2026,NULL
,,,,,,,,
sale_id,customer_name,product,category,city,quantity,amount,sale_date,salesperson
1,Kavya,Laptop,Electronics,Bengaluru,1,55000,1/10/2026,Rahul
6,Pooja,Monitor,Electronics,Hyderabad,1,15000,1/22/2026,Arjun
10,Aman,Printer,Electronics,Hyderabad,1,18000,2/2/2026,NULL
